seed,opponent,architecture,final_money,opponent_final_money,margin,win,total_purchase_spend,spend_hires,spend_seeds,spend_wheat,spend_animals,spend_land,spend_fertilizer,average_cash,minimum_cash,cash_day_5,cash_day_9,cash_day_11,cash_day_13,cash_day_20,cash_day_28,capital_efficiency,land_purchases,ne_unlock_day,sw_unlock_day,animal_purchases,seed_purchases,critical_wheat_purchases,feed_failures,shed_overflow_events,endgame_unsold_inventory,turns_with_slot_pressure,diverged_turns,changed_selection_turns,execution_reorder_only_turns,p0_inversions,suppressed_candidates_total
113,random,historical_candidates_central,73136.0,0.0,73136.0,1,82388.0,75450.0,1707.0,2631.0,600.0,2000.0,0.0,23666.78,303.0,947.0,500.0,2943.0,18658.0,28573.0,66170.0,0.8877,1,6,,2,155,82,0,2,0,9,8,4,4,0,59
113,random,historical_stack,72035.0,0.0,72035.0,1,82217.0,75450.0,1702.0,2465.0,600.0,2000.0,0.0,23447.98,303.0,947.0,577.0,2853.0,15986.0,28338.0,65640.0,0.8762,1,6,,2,154,77,0,1,0,0,0,0,0,0,56
113,starter,historical_candidates_central,74085.0,3467.0,70618.0,1,82386.0,75450.0,1707.0,2629.0,600.0,2000.0,0.0,23723.35,303.0,947.0,500.0,2782.0,18478.0,28493.0,66876.0,0.8992,1,6,,2,155,82,0,2,0,9,8,4,4,0,59
113,starter,historical_stack,73788.0,3467.0,70321.0,1,82466.0,75450.0,1707.0,2709.0,600.0,2000.0,0.0,23479.37,303.0,947.0,500.0,2782.0,17588.0,28528.0,66257.0,0.8948,1,6,,2,155,84,0,3,0,0,0,0,0,0,59
114,random,historical_candidates_central,73920.0,210.0,73710.0,1,82273.0,75450.0,1702.0,2521.0,600.0,2000.0,0.0,23460.96,303.0,947.0,577.0,2786.0,15853.0,27565.0,66790.0,0.8985,1,6,,2,154,77,0,1,0,9,7,2,5,0,56
114,random,historical_stack,71988.0,0.0,71988.0,1,82277.0,75450.0,1702.0,2525.0,600.0,2000.0,0.0,23095.9,306.0,948.0,538.0,2732.0,15446.0,27947.0,65210.0,0.8749,1,6,,2,154,81,0,2,0,0,0,0,0,0,58
114,starter,historical_candidates_central,70817.0,3490.0,67327.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,22776.82,306.0,948.0,503.0,2475.0,15994.0,27390.0,63688.0,0.8502,1,6,,2,155,112,0,1,0,4,6,3,3,0,59
114,starter,historical_stack,69864.0,3500.0,66364.0,1,83293.0,75450.0,1707.0,3536.0,600.0,2000.0,0.0,22558.29,306.0,948.0,503.0,2475.0,15085.0,27425.0,62786.0,0.8388,1,6,,2,155,112,0,2,0,0,0,0,0,0,59
115,random,historical_candidates_central,69397.0,0.0,69397.0,1,82342.0,75450.0,1707.0,2585.0,600.0,2000.0,0.0,22772.34,303.0,947.0,500.0,2563.0,18246.0,28221.0,62662.0,0.8428,1,6,,2,155,80,0,2,0,8,7,3,4,0,58
115,random,historical_stack,70853.0,0.0,70853.0,1,82510.0,75450.0,1707.0,2753.0,600.0,2000.0,0.0,23037.88,303.0,947.0,500.0,2794.0,17660.0,28520.0,63897.0,0.8587,1,6,,2,155,84,0,3,0,0,0,0,0,0,59
